keys,en,uk,pl,be,kz,ru
ACTION_JOKER_FAILED,"The Joker condition could not be applied.","Не вдалося застосувати умову Джокера.","Nie udało się zastosować warunku Jokera.","Не ўдалося прымяніць умову Джокера.","Джокер шартын қолдану мүмкін болмады.","Условие Джокера не удалось применить."
ACTION_UNDO_VOTING,"Undo request: bots are voting…","Запит на повернення ходу: боти голосують…","Prośba o cofnięcie ruchu: boty głosują…","Запыт на вяртанне ходу: боты галасуюць…","Жүрісті қайтару сұрауы: боттар дауыс беруде…","Запрос на возврат хода: боты голосуют…"
ACTION_UNDO_APPROVED,"%s agrees to undo the move.","%s погоджується повернути хід.","%s zgadza się cofnąć ruch.","%s згодны вярнуць ход.","%s жүрісті қайтаруға келісті.","%s согласен вернуть ход."
ACTION_UNDO_DONE,"The bots agreed. The previous move was undone.","Боти погодилися. Попередній хід скасовано.","Boty się zgodziły. Poprzedni ruch został cofnięty.","Боты пагадзіліся. Мінулы ход адменены.","Боттар келісті. Алдыңғы жүріс қайтарылды.","Боты согласились. Прошлый ход отменён."
ACTION_TRICK_WINNER,"The trick goes to %s.","Взятку забирає %s.","Lewę bierze %s.","Узятку забірае %s.","Ұтысты %s алады.","Взятку забирает %s."
ACTION_YOU_PLAYED,"You played %s.","Ви зіграли %s.","Zagrałeś %s.","Ты згуляў %s.","Сіз %s картасымен жүрдіңіз.","Ты сыграл %s."
ACTION_PLAYER_PLAYED,"%s played %s.","%s зіграв %s.","%s zagrał %s.","%s згуляў %s.","%s %s картасымен жүрді.","%s сыграл %s."
TRICK_NOT_STARTED,"The trick has not started yet","Взятка ще не почалася","Lewa jeszcze się nie rozpoczęła","Узятка яшчэ не пачалася","Ұтыс әлі басталған жоқ","Взятка ещё не началась"
RESULT_TAKEN,"taken","взято","wzięto","узята","алынды","взято"
RESULT_SCORE,"score","рахунок","wynik","лік","есеп","счёт"
RESULT_NO_BID,"no bid","без замовлення","bez zakładu","без заказу","тапсырыссыз","без заказа"
RESULT_BID_FULFILLED,"bid %d fulfilled","замовлення %d виконано","zakład %d wykonany","заказ %d выкананы","%d тапсырыс орындалды","заказ %d выполнен"
RESULT_BID_SHORT,"short by %d (bid %d)","недобір %d (замовлення %d)","niedobór %d (zakład %d)","недабор %d (заказ %d)","%d кем (тапсырыс %d)","недобор %d (заказ %d)"
RESULT_BID_OVER,"over by %d (bid %d)","перебір %d (замовлення %d)","nadmiar %d (zakład %d)","перабор %d (заказ %d)","%d артық (тапсырыс %d)","перебор %d (заказ %d)"
RESULT_ROUND_COMPLETE,"Round complete.","Роздачу завершено.","Rozdanie zakończone.","Раздача завершана.","Тарату аяқталды.","Раздача завершена."
RESULT_GAME_COMPLETE,"Game complete.","Партію завершено.","Gra zakończona.","Партыя завершана.","Ойын аяқталды.","Партия завершена."
RESULT_TOTAL_TRICKS,"total tricks","усього взяток","łącznie lew","усяго ўзятак","барлық ұтыс","всего взяток"
RESULT_EXACT_BIDS,"exact bids","точних замовлень","trafionych zakładów","дакладных заказаў","дәл тапсырыстар","точных заказов"
RESULT_FINAL_PLAIN,"%s %s · %s — %d pts · total %d tricks · exact bids: %d","%s %s · %s — %d оч. · усього %d вз. · точних замовлень: %d","%s %s · %s — %d pkt · łącznie %d lew · trafionych zakładów: %d","%s %s · %s — %d ачк. · усяго %d уз. · дакладных заказаў: %d","%s %s · %s — %d ұпай · барлығы %d ұтыс · дәл тапсырыс: %d","%s %s · %s — %d очк. · всего %d вз. · точных заказов: %d"
RESULT_PLACE_UNDEFINED,"place not determined","місце не визначено","miejsce nieustalone","месца не вызначана","орын анықталмады","место не определено"
RESULT_PLACE,"place %d","%d-е місце","%d. miejsce","%d-е месца","%d-орын","%d-е место"
RESULT_PLACE_SHARED,"%s (shared)","%s (нічия)","%s (remis)","%s (нічыя)","%s (тең)","%s (ничья)"
MUSIC_VOLUME_TITLE,"Music volume","Гучність музики","Głośność muzyki","Гучнасць музыкі","Музыка деңгейі","Громкость музыки"
MUSIC_REPEAT_STATE,"↻ Repeat: %s","↻ Повтор: %s","↻ Powtarzanie: %s","↻ Паўтор: %s","↻ Қайталау: %s","↻ Повтор: %s"
MUSIC_SHUFFLE_STATE,"⤨ Shuffle: %s","⤨ Випадково: %s","⤨ Losowo: %s","⤨ Выпадкова: %s","⤨ Кездейсоқ: %s","⤨ Случайно: %s"
MUSIC_ON,"on","увімк","wł.","укл","қос.","вкл"
MUSIC_OFF,"off","вимк","wył.","выкл","өш.","выкл"
MUSIC_REPEAT_TOOLTIP,"Repeat the current track when it ends","Повторювати поточний трек після завершення","Powtarzaj bieżący utwór po zakończeniu","Паўтараць бягучы трэк пасля завяршэння","Ағымдағы трек аяқталғанда қайталау","После окончания повторять текущий трек"
MUSIC_SHUFFLE_TOOLTIP,"Choose a random next track when the current one ends","Після завершення вибирати випадковий наступний трек","Po zakończeniu wybierz losowy następny utwór","Пасля завяршэння выбіраць выпадковы наступны трэк","Ағымдағы трек аяқталғанда келесісін кездейсоқ таңдау","После окончания выбирать случайный следующий трек"
MUSIC_ADD_FOLDER,"📁 Add folder","📁 Додати папку","📁 Dodaj folder","📁 Дадаць папку","📁 Қалта қосу","📁 Добавить папку"
MUSIC_CLEAR_CUSTOM,"Clear mine","Очистити власні","Usuń własne","Ачысціць свае","Өз тректерімді тазалау","Очистить свои"
MUSIC_CLEAR_CUSTOM_TOOLTIP,"Remove only personally added tracks from the playlist","Видалити з плейлиста лише власноруч додані треки","Usuń z playlisty tylko własne dodane utwory","Выдаліць з плэйліста толькі ўласныя дададзеныя трэкі","Ойнату тізімінен тек өзіңіз қосқан тректерді жою","Удалить из плейлиста только добавленные треки"
MUSIC_PLAYLIST,"Playlist","Плейлист","Playlista","Плэйліст","Ойнату тізімі","Плейлист"
MUSIC_SEARCH_PLACEHOLDER,"Search by title","Пошук за назвою","Szukaj po tytule","Пошук па назве","Атауы бойынша іздеу","Поиск по названию"
MUSIC_NOT_FOUND,"Nothing found","Нічого не знайдено","Nic nie znaleziono","Нічога не знойдзена","Ештеңе табылмады","Ничего не найдено"
MUSIC_PAGE_RANGE,"%d–%d of %d","%d–%d з %d","%d–%d z %d","%d–%d з %d","%d–%d / %d","%d–%d из %d"
MUSIC_PLAY,"▶ Play","▶ Грати","▶ Odtwórz","▶ Граць","▶ Ойнату","▶ Играть"
MUSIC_TRACK_QUIET_TABLE,"Quiet Table","Тихий стіл","Cichy stół","Ціхі стол","Тыныш үстел","Тихий стол"
MUSIC_TRACK_NIGHT_DECK,"Night Deck","Нічна колода","Nocna talia","Начная калода","Түнгі колода","Ночная колода"
MUSIC_TRACK_WARM_CIRCLE,"Warm Circle","Тепле коло","Ciepły krąg","Цёплае кола","Жылы шеңбер","Тёплый круг"
MUSIC_IMPORT_FOLDER_FAILED,"Could not open the selected folder.","Не вдалося відкрити вибрану папку.","Nie udało się otworzyć wybranego folderu.","Не ўдалося адкрыць выбраную папку.","Таңдалған қалтаны ашу мүмкін болмады.","Не удалось открыть выбранную папку."
MUSIC_IMPORT_NO_FILES,"No MP3, Ogg Vorbis or WAV files were found in the folder.","У папці не знайдено файлів MP3, Ogg Vorbis або WAV.","W folderze nie znaleziono plików MP3, Ogg Vorbis ani WAV.","У папцы не знойдзены файлы MP3, Ogg Vorbis або WAV.","Қалтадан MP3, Ogg Vorbis немесе WAV файлдары табылмады.","В папке не найдено MP3, Ogg Vorbis или WAV-файлов."
MUSIC_IMPORT_NO_NEW_TRACKS,"No new suitable tracks were added.","Не додано жодного нового відповідного треку.","Nie dodano żadnych nowych odpowiednich utworów.","Не дададзена ніводнага новага прыдатнага трэка.","Жаңа жарамды трек қосылмады.","Ни одного нового подходящего трека не добавлено."
MUSIC_IMPORT_SUMMARY,"Added: %d · skipped: %d.","Додано: %d · пропущено: %d.","Dodano: %d · pominięto: %d.","Дададзена: %d · прапушчана: %d.","Қосылды: %d · өткізіліп жіберілді: %d.","Добавлено: %d · пропущено: %d."
MUSIC_CUSTOM_PLAYLIST_CLEARED,"Personal playlist cleared.","Власний плейлист очищено.","Własna playlista została wyczyszczona.","Асабісты плэйліст ачышчаны.","Жеке ойнату тізімі тазаланды.","Личный плейлист очищен."
