keys,en,uk,pl,be,kz,ru
"• Джокер можно использовать как сильнейшую карту или как сброс; при первом ходе он позволяет объявить масть и условие розыгрыша.","• The Joker may be used as the strongest card or discarded; when leading, it lets you name a suit and play condition.","• Джокер можна використати як найсильнішу карту або скинути; при першому ході він дозволяє оголосити масть і умову розіграшу.","• Jokera można użyć jako najsilniejszej karty albo zrzucić; przy wyjściu pozwala wskazać kolor i warunek rozgrywki.","• Джокер можна выкарыстаць як наймацнейшую карту або скінуць; пры першым ходзе ён дазваляе абвясціць масць і ўмову розыгрышу.","• Джокерді ең күшті карта ретінде пайдалануға немесе тастауға болады; бірінші жүрісте ол түс пен ойын шартын жариялауға мүмкіндік береді.","• Джокер можно использовать как сильнейшую карту или как сброс; при первом ходе он позволяет объявить масть и условие розыгрыша."
"• При равенстве очков выше место у игрока, который точнее выполнил заказы за всю партию.","• If scores are tied, the player who matched more bids over the whole game ranks higher.","• За рівності очок вище місце посідає гравець, який точніше виконував замовлення протягом усієї партії.","• Przy remisie wyżej plasuje się gracz, który dokładniej realizował deklaracje w całej grze.","• Пры роўнасці ачкоў вышэй месца ў гульца, які дакладней выконваў заказы за ўсю партыю.","• Ұпай тең болса, бүкіл ойын бойы тапсырыстарын дәлірек орындаған ойыншы жоғары орын алады.","• При равенстве очков выше место у игрока, который точнее выполнил заказы за всю партию."
"Результаты полностью завершённых локальных партий","Results from fully completed local games","Результати повністю завершених локальних партій","Wyniki w pełni ukończonych gier lokalnych","Вынікі цалкам завершаных лакальных партый","Толық аяқталған жергілікті ойындардың нәтижелері","Результаты полностью завершённых локальных партий"
"Пока нет завершённых партий. Статистика появится после полного цикла из 32 раздач.","No completed games yet. Statistics will appear after a full 32-round game.","Завершених партій поки немає. Статистика з’явиться після повного циклу з 32 роздач.","Brak ukończonych gier. Statystyki pojawią się po pełnym cyklu 32 rozdań.","Завершаных партый пакуль няма. Статыстыка з’явіцца пасля поўнага цыклу з 32 раздач.","Аяқталған ойындар әзірге жоқ. Статистика 32 таратудан тұратын толық ойыннан кейін пайда болады.","Пока нет завершённых партий. Статистика появится после полного цикла из 32 раздач."
"Сыграно партий: %d","Games played: %d","Зіграно партій: %d","Rozegrane gry: %d","Згуляна партый: %d","Ойналған ойындар: %d","Сыграно партий: %d"
"Победы: %d (%d%%)","Wins: %d (%d%%)","Перемоги: %d (%d%%)","Zwycięstwa: %d (%d%%)","Перамогі: %d (%d%%)","Жеңістер: %d (%d%%)","Победы: %d (%d%%)"
"Места: 2-е — %d · 3-е — %d · 4-е — %d","Placements: 2nd — %d · 3rd — %d · 4th — %d","Місця: 2-ге — %d · 3-тє — %d · 4-те — %d","Miejsca: 2. — %d · 3. — %d · 4. — %d","Месцы: 2-е — %d · 3-е — %d · 4-е — %d","Орындар: 2-орын — %d · 3-орын — %d · 4-орын — %d","Места: 2-е — %d · 3-е — %d · 4-е — %d"
"Лучший счёт: %d","Best score: %d","Найкращий рахунок: %d","Najlepszy wynik: %d","Найлепшы рахунак: %d","Үздік ұпай: %d","Лучший счёт: %d"
"Последняя партия","Last game","Остання партія","Ostatnia gra","Апошняя партыя","Соңғы ойын","Последняя партия"
"%s · счёт %d · точных заказов: %d","%s · score %d · exact bids: %d","%s · рахунок %d · точних замовлень: %d","%s · wynik %d · dokładne deklaracje: %d","%s · рахунак %d · дакладных заказаў: %d","%s · ұпай %d · дәл тапсырыстар: %d","%s · счёт %d · точных заказов: %d"
"ПЕРЕБРОС ЛИДЕРОВ","LEADERS REROLL","ПЕРЕКИДАННЯ ЛІДЕРІВ","DOGRYWKA LIDERÓW","ПЕРАКІД ЛІДАРАЎ","КӨШБАСШЫЛАР ҚАЙТА ЛАҚТЫРАДЫ","ПЕРЕБРОС ЛИДЕРОВ"
"%s выигрывает и будет первым заказывать и ходить","%s wins and will bid and play first","%s перемагає та першим замовлятиме й ходитиме","%s wygrywa i jako pierwszy deklaruje oraz zagrywa","%s перамагае і будзе першым заказваць і хадзіць","%s жеңді және бірінші тапсырыс беріп, жүріс жасайды","%s выигрывает и будет первым заказывать и ходить"
"Ничья у лидеров — сейчас будет переброс","The leaders tied — rerolling now","У лідерів нічия — зараз буде перекидання","Remis liderów — zaraz dogrywka","У лідараў нічыя — зараз будзе перакід","Көшбасшылар тең түсті — қазір қайта лақтыру","Ничья у лидеров — сейчас будет переброс"
"Кубики готовы: %d из %d · значения откроются одновременно","Dice ready: %d of %d · results will be revealed together","Кубики готові: %d із %d · результати відкриються одночасно","Kostki gotowe: %d z %d · wyniki zostaną odsłonięte jednocześnie","Кубікі гатовыя: %d з %d · вынікі адкрыюцца адначасова","Зарлар дайын: %d/%d · нәтижелер бір уақытта ашылады","Кубики готовы: %d из %d · значения откроются одновременно"
"Ничья у лидеров — нужен переброс","The leaders tied — reroll required","У лідерів нічия — потрібне перекидання","Remis liderów — potrzebna dogrywka","У лідараў нічыя — патрэбны перакід","Көшбасшылар тең түсті — қайта лақтыру қажет","Ничья у лидеров — нужен переброс"
"Все участники бросают кубики одновременно","All players roll their dice at the same time","Усі учасники кидають кубики одночасно","Wszyscy gracze rzucają kostkami jednocześnie","Усе ўдзельнікі кідаюць кубікі адначасова","Барлық ойыншылар зарды бір уақытта лақтырады","Все участники бросают кубики одновременно"
"Начать первую раздачу","Start first round","Почати першу роздачу","Rozpocznij pierwsze rozdanie","Пачаць першую раздачу","Бірінші таратуды бастау","Начать первую раздачу"
"Ждём запуска раздачи хостом","Waiting for the host to start the round","Чекаємо, поки хост почне роздачу","Czekamy, aż host rozpocznie rozdanie","Чакаем, пакуль хост пачне раздачу","Хост таратуды бастағанша күтеміз","Ждём запуска раздачи хостом"
"Готовим переброс…","Preparing reroll…","Готуємо перекидання…","Przygotowanie dogrywki…","Рыхтуем перакід…","Қайта лақтыру дайындалуда…","Готовим переброс…"
"Перебрасывают лидеры · ждём","Leaders are rerolling · waiting","Лідери перекидають · очікуємо","Liderzy rzucają ponownie · oczekiwanie","Лідары перакідваюць · чакаем","Көшбасшылар қайта лақтырады · күтеміз","Перебрасывают лидеры · ждём"
"Перебросить кубик","Reroll die","Перекинути кубик","Rzuć ponownie","Перакінуць кубік","Зарды қайта лақтыру","Перебросить кубик"
"Кубик брошен ✓ · ждём остальных","Die rolled ✓ · waiting for others","Кубик кинуто ✓ · чекаємо на інших","Kostka rzucona ✓ · czekamy na pozostałych","Кубік кінуты ✓ · чакаем астатніх","Зар лақтырылды ✓ · басқаларын күтеміз","Кубик брошен ✓ · ждём остальных"
"Боты перебрасывают кубики…","Bots are rerolling…","Боти перекидають кубики…","Boty rzucają ponownie…","Боты перакідваюць кубікі…","Боттар зарды қайта лақтырады…","Боты перебрасывают кубики…"
"Игрок %d","Player %d","Гравець %d","Gracz %d","Гулец %d","Ойыншы %d","Игрок %d"
"ПЕРВЫЙ ХОД","PLAYS FIRST","ПЕРШИЙ ХІД","PIERWSZY RUCH","ПЕРШЫ ХОД","БІРІНШІ ЖҮРІС","ПЕРВЫЙ ХОД"
"вне переброса","not rerolling","не перекидає","poza dogrywką","па-за перакідам","қайта лақтырмайды","вне переброса"
"бросок сделан","roll submitted","кидок зроблено","rzut wykonany","кідок зроблены","лақтыру жасалды","бросок сделан"
"участвует","participating","бере участь","uczestniczy","удзельнічае","қатысады","участвует"
"Режим партии","Game mode","Режим партії","Tryb gry","Рэжым партыі","Ойын режимі","Режим партии"
"Классическая · каждый за себя","Classic · free-for-all","Класична · кожен сам за себе","Klasyczny · każdy na siebie","Класічная · кожны сам за сябе","Классикалық · әркім өзі үшін","Классическая · каждый за себя"
"Командная 2×2 · партнёры напротив","Teams 2v2 · partners opposite","Командна 2×2 · партнери навпроти","Drużynowy 2 na 2 · partnerzy naprzeciwko","Камандная 2×2 · партнёры насупраць","Командалық 2×2 · серіктестер қарама-қарсы","Командная 2×2 · партнёры напротив"
"В командной игре ты и сидящий напротив бот играете вместе против двух других ботов. На столе, в итогах и расписке показывается общий результат команды.","In team mode, you and the bot opposite play together against the other two bots. The table, results and score sheet show the combined team score.","У командній грі ви з ботом навпроти граєте разом проти двох інших ботів. На столі, у підсумках і розписці показано спільний результат команди.","W trybie drużynowym ty i bot naprzeciwko gracie razem przeciwko dwóm pozostałym botom. Stół, wyniki i tabela pokazują wspólny wynik drużyny.","У каманднай гульні ты і бот насупраць гуляеце разам супраць двух іншых ботаў. На стале, у выніках і раскладзе паказваецца агульны вынік каманды.","Командалық ойында сіз және қарама-қарсы отырған бот басқа екі ботқа қарсы бірге ойнайсыз. Үстелде, қорытындыда және кестеде команданың жалпы нәтижесі көрсетіледі.","В командной игре ты и сидящий напротив бот играете вместе против двух других ботов. На столе, в итогах и расписке показывается общий результат команды."
"Команда Золото","Team Gold","Команда Золото","Drużyna Złoto","Каманда Золата","Алтын командасы","Команда Золото"
"Команда Изумруд","Team Emerald","Команда Смарагд","Drużyna Szmaragd","Каманда Ізумруд","Зүбаржат командасы","Команда Изумруд"
"Список комнат ещё не обновлялся.","Room list has not been refreshed yet.","Список кімнат ще не оновлено.","Lista pokoi nie została jeszcze odświeżona.","Спіс пакояў яшчэ не абноўлены.","Бөлмелер тізімі әлі жаңартылған жоқ.","Список комнат ещё не обновлялся."
"Steam не подключён. Запусти игру через Steam и обнови список.","Steam is not connected. Launch the game through Steam and refresh the list.","Steam не підключено. Запустіть гру через Steam та оновіть список.","Steam nie jest połączony. Uruchom grę przez Steam i odśwież listę.","Steam не падключаны. Запусці гульню праз Steam і абнаві спіс.","Steam қосылмаған. Ойынды Steam арқылы іске қосып, тізімді жаңартыңыз.","Steam не подключён. Запусти игру через Steam и обнови список."
"Steam API недоступен.","Steam API is unavailable.","Steam API недоступний.","Steam API jest niedostępne.","Steam API недаступны.","Steam API қолжетімсіз.","Steam API недоступен."
"Эта версия Steam API не поддерживает поиск комнат.","This Steam API version does not support room search.","Ця версія Steam API не підтримує пошук кімнат.","Ta wersja Steam API nie obsługuje wyszukiwania pokoi.","Гэта версія Steam API не падтрымлівае пошук пакояў.","Steam API бұл нұсқасы бөлмелерді іздеуді қолдамайды.","Эта версия Steam API не поддерживает поиск комнат."
"Ищем открытые комнаты…","Searching for open rooms…","Шукаємо відкриті кімнати…","Wyszukiwanie otwartych pokoi…","Шукаем адкрытыя пакоі…","Ашық бөлмелер ізделуде…","Ищем открытые комнаты…"
"Открытых комнат найдено: %d. Комнат друзей: %d.","Open rooms found: %d. Friends' rooms: %d.","Знайдено відкритих кімнат: %d. Кімнат друзів: %d.","Znalezione otwarte pokoje: %d. Pokoje znajomych: %d.","Знойдзена адкрытых пакояў: %d. Пакояў сяброў: %d.","Табылған ашық бөлмелер: %d. Достар бөлмелері: %d.","Открытых комнат найдено: %d. Комнат друзей: %d."
"Сейчас друзья не находятся в доступных комнатах Project Joker.","No friends are currently in available Project Joker rooms.","Зараз друзів немає в доступних кімнатах Project Joker.","Żaden znajomy nie znajduje się teraz w dostępnym pokoju Project Joker.","Зараз сяброў няма ў даступных пакоях Project Joker.","Қазір достар қолжетімді Project Joker бөлмелерінде жоқ.","Сейчас друзья не находятся в доступных комнатах Project Joker."
"Открытых столов пока нет. Можно создать свой и дождаться игроков.","There are no open tables yet. Create one and wait for players.","Відкритих столів поки немає. Створіть свій і дочекайтеся гравців.","Nie ma jeszcze otwartych stołów. Utwórz własny i poczekaj na graczy.","Адкрытых сталоў пакуль няма. Ствары свой і пачакай гульцоў.","Әзірге ашық үстелдер жоқ. Өз үстеліңізді құрып, ойыншыларды күтіңіз.","Открытых столов пока нет. Можно создать свой и дождаться игроков."
"Steam-игрок","Steam player","Гравець Steam","Gracz Steam","Гулец Steam","Steam ойыншысы","Steam-игрок"
"идёт партия","game in progress","гра триває","gra trwa","партыя ідзе","ойын жүріп жатыр","идёт партия"
"ожидает игроков","waiting for players","очікує гравців","oczekuje na graczy","чакае гульцоў","ойыншыларды күтуде","ожидает игроков"
"классика","classic","класика","klasyczny","класіка","классикалық","классика"
"Друг: %s","Friend: %s","Друг: %s","Znajomy: %s","Сябар: %s","Дос: %s","Друг: %s"
"Открытая комната","Public room","Відкрита кімната","Pokój publiczny","Адкрыты пакой","Ашық бөлме","Открытая комната"
"Переподключиться","Reconnect","Перепідключитися","Połącz ponownie","Перападключыцца","Қайта қосылу","Переподключиться"
"Войти","Join","Увійти","Dołącz","Увайсці","Кіру","Войти"
"Активная партия доступна только её первоначальным участникам.","An active game is available only to its original participants.","Активна гра доступна лише її початковим учасникам.","Aktywna gra jest dostępna tylko dla jej pierwotnych uczestników.","Актыўная партыя даступная толькі яе першапачатковым удзельнікам.","Белсенді ойын тек бастапқы қатысушыларына қолжетімді.","Активная партия доступна только её первоначальным участникам."
"Войти в Steam-комнату","Join Steam room","Увійти до Steam-кімнати","Dołącz do pokoju Steam","Увайсці ў пакой Steam","Steam бөлмесіне кіру","Войти в Steam-комнату"
"Разыграть первый ход","Roll for first move","Розіграти перший хід","Losuj pierwszy ruch","Разыграць першы ход","Бірінші жүрісті анықтау","Разыграть первый ход"
"Открыть Steam P2P-стол","Open Steam P2P table","Відкрити Steam P2P-стіл","Otwórz stół Steam P2P","Адкрыць Steam P2P-стол","Steam P2P үстелін ашу","Открыть Steam P2P-стол"
"Приглашение открывает стандартный Steam Overlay. Хост может заполнить свободные места ботами или дождаться четырёх людей. Все живые участники отмечают готовность и подключаются к игровому столу, после чего хост начинает полноценную партию. Хост проверяет команды и отправляет каждому только его закрытую руку.","The invitation opens the standard Steam Overlay. The host can fill empty seats with bots or wait for four people. All human players mark themselves ready and connect to the table, then the host starts the full game. The host verifies the teams and sends each player only their private hand.","Запрошення відкриває стандартний Steam Overlay. Хост може заповнити вільні місця ботами або дочекатися чотирьох людей. Усі живі учасники позначають готовність і підключаються до столу, після чого хост починає повну гру. Хост перевіряє команди й надсилає кожному лише його закриту руку.","Zaproszenie otwiera standardową nakładkę Steam. Host może wypełnić wolne miejsca botami lub poczekać na cztery osoby. Wszyscy gracze oznaczają gotowość i łączą się ze stołem, po czym host rozpoczyna pełną grę. Host sprawdza drużyny i wysyła każdemu tylko jego prywatną rękę.","Запрашэнне адкрывае стандартны Steam Overlay. Хост можа запоўніць вольныя месцы ботамі або дачакацца чатырох людзей. Усе жывыя ўдзельнікі адзначаюць гатоўнасць і падключаюцца да стала, пасля чаго хост пачынае поўную партыю. Хост правярае каманды і адпраўляе кожнаму толькі яго закрытую руку.","Шақыру стандартты Steam Overlay ашады. Хост бос орындарды боттармен толтыра алады немесе төрт адамды күте алады. Барлық тірі ойыншылар дайын екенін белгілеп, үстелге қосылады, содан кейін хост толық ойынды бастайды. Хост командаларды тексеріп, әр ойыншыға тек оның жабық қолын жібереді.","Приглашение открывает стандартный Steam Overlay. Хост может заполнить свободные места ботами или дождаться четырёх людей. Все живые участники отмечают готовность и подключаются к игровому столу, после чего хост начинает полноценную партию. Хост проверяет команды и отправляет каждому только его закрытую руку."
"Назад к сетевой игре","Back to online play","Назад до мережевої гри","Wróć do gry online","Назад да сеткавай гульні","Желілік ойынға оралу","Назад к сетевой игре"
"Партия начата","Game started","Гру розпочато","Gra rozpoczęta","Партыя пачалася","Ойын басталды","Партия начата"
"Розыгрыш первого хода идёт","First-move roll in progress","Триває розіграш першого ходу","Trwa losowanie pierwszego ruchu","Ідзе розыгрыш першага ходу","Бірінші жүрісті анықтау жүріп жатыр","Розыгрыш первого хода идёт"
"До 14 символов. Слово «команда» добавлять не нужно.","Up to 14 characters. You do not need to add the word “team”.","До 14 символів. Слово «команда» додавати не потрібно.","Maksymalnie 14 znaków. Nie trzeba dodawać słowa „drużyna”.","Да 14 сімвалаў. Слова «каманда» дадаваць не трэба.","14 таңбаға дейін. «Команда» сөзін қосудың қажеті жоқ.","До 14 символов. Слово «команда» добавлять не нужно."
"Steam-комната","Steam room","Steam-кімната","Pokój Steam","Steam-пакой","Steam бөлмесі","Steam-комната"
"Командная 2×2","Teams 2v2","Командна 2×2","Drużynowy 2 na 2","Камандная 2×2","Командалық 2×2","Командная 2×2"
"Классическая","Classic","Класична","Klasyczna","Класічная","Классикалық","Классическая"
"%s · четыре места · %s · свободные места можно заполнить ботами","%s · four seats · %s · empty seats can be filled with bots","%s · чотири місця · %s · вільні місця можна заповнити ботами","%s · cztery miejsca · %s · wolne miejsca można wypełnić botami","%s · чатыры месцы · %s · вольныя месцы можна запоўніць ботамі","%s · төрт орын · %s · бос орындарды боттармен толтыруға болады","%s · четыре места · %s · свободные места можно заполнить ботами"
"Название вашей команды","Your team name","Назва вашої команди","Nazwa twojej drużyny","Назва тваёй каманды","Командаңыздың атауы","Название вашей команды"
"Сохранить название","Save name","Зберегти назву","Zapisz nazwę","Захаваць назву","Атауды сақтау","Сохранить название"
"Сложность ботов за сетевым столом","Online-table bot difficulty","Складність ботів за мережевим столом","Poziom botów przy stole online","Складанасць ботаў за сеткавым сталом","Желілік үстелдегі бот қиындығы","Сложность ботов за сетевым столом"
"История раздачи","Round history","Історія роздачі","Historia rozdania","Гісторыя раздачы","Тарату тарихы","История раздачи"
"Полная — видны все сыгранные карты. «Только последняя взятка» скрывает старые ходы и оставляет последнюю завершённую взятку плюс текущие карты на столе.","Full shows every played card. “Last trick only” hides older plays and keeps the last completed trick plus the cards currently on the table.","Повна — видно всі зіграні карти. «Лише остання взятка» приховує старі ходи й залишає останню завершену взятку та поточні карти на столі.","Pełna pokazuje wszystkie zagrane karty. „Tylko ostatnia lewa” ukrywa starsze ruchy i pozostawia ostatnią zakończoną lewę oraz bieżące karty na stole.","Поўная паказвае ўсе сыграныя карты. «Толькі апошняя ўзятка» хавае старыя хады і пакідае апошнюю завершаную ўзятку ды бягучыя карты на стале.","Толық режим барлық ойналған карталарды көрсетеді. «Тек соңғы ұтыс» бұрынғы жүрістерді жасырып, соңғы аяқталған ұтыс пен үстелдегі ағымдағы карталарды қалдырады.","Полная — видны все сыгранные карты. «Только последняя взятка» скрывает старые ходы и оставляет последнюю завершённую взятку плюс текущие карты на столе."
"Хост называет команду мест 1+3. Первый игрок команды мест 2+4 становится её капитаном и задаёт второе название.","The host names the team in seats 1+3. The first player on the team in seats 2+4 becomes its captain and sets the second name.","Хост називає команду місць 1+3. Перший гравець команди місць 2+4 стає її капітаном і задає другу назву.","Host nazywa drużynę miejsc 1+3. Pierwszy gracz drużyny miejsc 2+4 zostaje jej kapitanem i nadaje drugą nazwę.","Хост называе каманду месцаў 1+3. Першы гулец каманды месцаў 2+4 становіцца яе капітанам і задае другую назву.","Хост 1+3 орындар командасын атайды. 2+4 орындар командасының бірінші ойыншысы капитан болып, екінші атауды қояды.","Хост называет команду мест 1+3. Первый игрок команды мест 2+4 становится её капитаном и задаёт второе название."
"по приглашению","by invitation","за запрошенням","na zaproszenie","па запрашэнні","шақыру бойынша","по приглашению"
"открытая","public","відкрита","publiczny","адкрытая","ашық","открытая"
"только для друзей","friends only","лише для друзів","tylko dla znajomych","толькі для сяброў","тек достар үшін","только для друзей"
"Команда 1","Team 1","Команда 1","Drużyna 1","Каманда 1","1-команда","Команда 1"
"Команда 2","Team 2","Команда 2","Drużyna 2","Каманда 2","2-команда","Команда 2"
"Команда %d","Team %d","Команда %d","Drużyna %d","Каманда %d","%d-команда","Команда %d"
"Фон главного меню","Main menu background","Фон головного меню","Tło menu głównego","Фон галоўнага меню","Басты мәзір фоны","Фон главного меню"
"Автоматически по времени","Automatic by time","Автоматично за часом","Automatycznie według czasu","Аўтаматычна паводле часу","Уақыт бойынша автоматты","Автоматически по времени"
"Постоянный день","Always day","Постійний день","Zawsze dzień","Заўсёды дзень","Тұрақты күндіз","Постоянный день"
"Постоянный вечер","Always evening","Постійний вечір","Zawsze wieczór","Заўсёды вечар","Тұрақты кеш","Постоянный вечер"
"Ночной город","Night City","Нічне місто","Nocne miasto","Начны горад","Түнгі қала","Ночной город"
"Автоматический режим использует системное время: день с 06:00 до 17:59, вечер — с 18:00 до 05:59.","Automatic mode uses the system clock: day from 06:00 to 17:59, evening from 18:00 to 05:59.","Автоматичний режим використовує системний час: день із 06:00 до 17:59, вечір — із 18:00 до 05:59.","Tryb automatyczny używa zegara systemowego: dzień od 06:00 do 17:59, wieczór od 18:00 do 05:59.","Аўтаматычны рэжым выкарыстоўвае сістэмны час: дзень з 06:00 да 17:59, вечар — з 18:00 да 05:59.","Автоматты режим жүйелік уақытты пайдаланады: күндіз 06:00-ден 17:59-ға дейін, кеш 18:00-ден 05:59-ға дейін.","Автоматический режим использует системное время: день с 06:00 до 17:59, вечер — с 18:00 до 05:59."
"Оформление интерфейса","Interface style","Оформлення інтерфейсу","Styl interfejsu","Афармленне інтэрфейсу","Интерфейс безендірілуі","Оформление интерфейса"
"Классический изумруд","Classic emerald","Класичний смарагд","Klasyczny szmaragd","Класічны ізумруд","Классикалық изумруд","Классический изумруд"
"Ночной город · синий","Night City · blue","Нічне місто · синій","Nocne miasto · niebieski","Начны горад · сіні","Түнгі қала · көк","Ночной город · синий"
"Меняет шрифты и палитру меню. Игровой стол и карты не затрагиваются.","Changes the menu fonts and palette. The game table and cards are not affected.","Змінює шрифти й палітру меню. Ігровий стіл і карти не змінюються.","Zmienia czcionki i paletę menu. Nie wpływa na stół ani karty.","Змяняе шрыфты і палітру меню. Гульнявы стол і карты не змяняюцца.","Мәзірдің қаріптері мен палитрасын өзгертеді. Ойын үстелі мен карталар өзгермейді.","Меняет шрифты и палитру меню. Игровой стол и карты не затрагиваются."
"Меняет палитру меню. Игровой стол и карты не затрагиваются.","Changes the menu palette. The game table and cards are not affected.","Змінює палітру меню. Ігровий стіл і карти не змінюються.","Zmienia paletę menu. Nie wpływa na stół ani karty.","Змяняе палітру меню. Гульнявы стол і карты не змяняюцца.","Мәзір палитрасын өзгертеді. Ойын үстелі мен карталар өзгермейді.","Меняет палитру меню. Игровой стол и карты не затрагиваются."
"Оформление кнопок","Button style","Оформлення кнопок","Styl przycisków","Афармленне кнопак","Түймелер безендірілуі","Оформление кнопок"
"Классические кнопки","Classic buttons","Класичні кнопки","Klasyczne przyciski","Класічныя кнопкі","Классикалық түймелер","Классические кнопки"
"Объёмные кнопки","Beveled buttons","Об'ємні кнопки","Przestrzenne przyciski","Аб'ёмныя кнопкі","Көлемді түймелер","Объёмные кнопки"
"Можно сравнить лаконичный прежний вариант и объёмные кнопки с подсветкой.","Compare the restrained original style with raised buttons and hover lighting.","Можна порівняти лаконічний попередній варіант та об'ємні кнопки з підсвічуванням.","Możesz porównać oszczędny wcześniejszy wariant z przestrzennymi przyciskami i podświetleniem.","Можна параўнаць лаканічны ранейшы варыянт і аб'ёмныя кнопкі з падсветкай.","Ықшам бұрынғы нұсқаны көлемді әрі жарықтандырылатын түймелермен салыстыруға болады.","Можно сравнить лаконичный прежний вариант и объёмные кнопки с подсветкой."
"В главное меню","Main menu","До головного меню","Menu główne","У галоўнае меню","Басты мәзірге","В главное меню"
"В главное меню?","Return to the main menu?","Повернутися до головного меню?","Wrócić do menu głównego?","Вярнуцца ў галоўнае меню?","Басты мәзірге оралу керек пе?","В главное меню?"
"Текущая партия с ботами сохранится","Your current game with bots will be saved","Поточну партію з ботами буде збережено","Bieżąca gra z botami zostanie zapisana","Бягучая партыя з ботамі будзе захавана","Боттармен ағымдағы ойын сақталады","Текущая партия с ботами сохранится"
"Продолжить можно будет кнопкой «Продолжить партию» в главном меню — даже после закрытия приложения.","Use Continue game in the main menu to resume, even after closing the app.","Продовжити можна кнопкою «Продовжити партію» в головному меню — навіть після закриття застосунку.","Aby wrócić do gry, wybierz Kontynuuj grę w menu głównym — nawet po zamknięciu aplikacji.","Працягнуць можна кнопкай «Працягнуць партыю» ў галоўным меню — нават пасля закрыцця праграмы.","Қолданбаны жапқаннан кейін де басты мәзірдегі «Ойынды жалғастыру» түймесімен жалғастыруға болады.","Продолжить можно будет кнопкой «Продолжить партию» в главном меню — даже после закрытия приложения."
"Сохранить и выйти","Save and exit","Зберегти й вийти","Zapisz i wyjdź","Захаваць і выйсці","Сақтау және шығу","Сохранить и выйти"
"Остаться в игре","Stay in game","Залишитися в грі","Zostań w grze","Застацца ў гульні","Ойында қалу","Остаться в игре"
"Сохранение партии","Saving game","Збереження партії","Zapisywanie gry","Захаванне партыі","Ойын сақталуда","Сохранение партии"
"Завершаем текущую анимацию хода…","Finishing the current move animation…","Завершуємо поточну анімацію ходу…","Kończenie animacji bieżącego ruchu…","Завяршаем бягучую анімацыю ходу…","Ағымдағы жүріс анимациясы аяқталуда…","Завершаем текущую анимацию хода…"
"Не удалось сохранить","Could not save","Не вдалося зберегти","Nie udało się zapisać","Не ўдалося захаваць","Сақтау мүмкін болмады","Не удалось сохранить"
"Партия остаётся открытой. Попробуй ещё раз.","Your game remains open. Please try again.","Партія залишається відкритою. Спробуйте ще раз.","Gra pozostaje otwarta. Spróbuj ponownie.","Партыя застаецца адкрытай. Паспрабуй яшчэ раз.","Ойын ашық күйінде қалады. Қайталап көріңіз.","Партия остаётся открытой. Попробуй ещё раз."
"Повторить сохранение","Retry saving","Повторити збереження","Ponów zapis","Паўтарыць захаванне","Қайта сақтау","Повторить сохранение"
"Завершение удалит сохранение этой партии. Если хочешь продолжить позже, выбери «Сохранить и выйти».","Ending the game deletes its save. To continue later, choose Save and exit.","Завершення видалить збереження цієї партії. Щоб продовжити пізніше, виберіть «Зберегти й вийти».","Zakończenie gry usunie jej zapis. Aby kontynuować później, wybierz Zapisz i wyjdź.","Завяршэнне выдаліць захаванне гэтай партыі. Каб працягнуць пазней, выберы «Захаваць і выйсці».","Ойынды аяқтау оның сақталған деректерін жояды. Кейін жалғастыру үшін «Сақтау және шығу» пәрменін таңдаңыз.","Завершение удалит сохранение этой партии. Если хочешь продолжить позже, выбери «Сохранить и выйти»."
"Завершить без сохранения","End without saving","Завершити без збереження","Zakończ bez zapisywania","Завяршыць без захавання","Сақтамай аяқтау","Завершить без сохранения"
"Завершение партии","Ending game","Завершення партії","Kończenie gry","Завяршэнне партыі","Ойын аяқталуда","Завершение партии"
"Статистика и рейтинг","Statistics and rating","Статистика й рейтинг","Statystyki i ranking","Статыстыка і рэйтынг","Статистика және рейтинг","Статистика и рейтинг"
"Личные результаты и сезонный рейтинг","Personal results and seasonal rating","Особисті результати й сезонний рейтинг","Wyniki osobiste i ranking sezonowy","Асабістыя вынікі і сезонны рэйтынг","Жеке нәтижелер және маусымдық рейтинг","Личные результаты и сезонный рейтинг"
"SEASON_SPRING","Spring season","Весняний сезон","Sezon wiosenny","Вясновы сезон","Көктемгі маусым","Весенний сезон"
"SEASON_SUMMER","Summer season","Літній сезон","Sezon letni","Летні сезон","Жазғы маусым","Летний сезон"
"SEASON_AUTUMN","Autumn season","Осінній сезон","Sezon jesienny","Восеньскі сезон","Күзгі маусым","Осенний сезон"
"SEASON_WINTER","Winter season","Зимовий сезон","Sezon zimowy","Зімовы сезон","Қысқы маусым","Зимний сезон"
"SEASON_RATING_SUMMARY","Rating: %.1f · points: %.1f · games: %d · MVP: %d","Рейтинг: %.1f · бали: %.1f · ігор: %d · MVP: %d","Ranking: %.1f · punkty: %.1f · gry: %d · MVP: %d","Рэйтынг: %.1f · балы: %.1f · гульняў: %d · MVP: %d","Рейтинг: %.1f · ұпай: %.1f · ойындар: %d · MVP: %d","Рейтинг: %.1f · очки: %.1f · игр: %d · MVP: %d"
"SEASON_WIN_LOSS","Wins: %d · losses: %d","Перемоги: %d · поразки: %d","Wygrane: %d · przegrane: %d","Перамогі: %d · паражэнні: %d","Жеңістер: %d · жеңілістер: %d","Победы: %d · поражения: %d"
